Gene,cluster,padj
Ist1,2,0.024639146
Gm3523,2,0.041507871
Vps26b,2,0.029795581
Gm45328,2,0.003637142
Clpx,2,0.045680115
Saraf,2,0.003742944
Snapc5,2,0.009789259
Ak6,2,0.039106784
Mir8099.1,2,0.004441908
E330034L11Rik,2,0.043567063
Gm7763,2,0.042568991
Gm5801,2,0.003742944
Gm12919,2,0.001686453
Ago4,2,0.030302555
Sox2,2,0.041548507
Gm44224,2,0.003555974
Gtf2h5,2,0.03662834
Gm43605,2,0.010521014
Gm47331,2,0.048054718
Ppfibp1,2,0.041923161
Ggps1,2,0.0015072
Dhx15,2,0.034787915
AC090881.3,2,0.01272853
Mindy4b.ps,2,0.009648532
Gm12502,2,0.010307764
Gm10031,2,0.018575495
Naa10,2,1.78E-05
Kyat3,2,0.002506525
Gm15989,2,0.009813329
Kctd10,2,0.032076066
Gm12614,2,0.018704298
Syna,2,0.000581759
Usp2,3,0.027598047
Pip4p1,3,0.039917168
Acox1,3,0.00516107
Chml,3,0.001714805
Pnp,3,0.000681475
Pygb,3,0.009502477
Gm9134,3,0.030511331
Rnf32,3,0.028245227
Fbp2,3,0.006386191
Psmd1,3,0.033429132
Gm15182,3,0.005725885
Gm43433,3,0.007399094
Gm2830,3,0.019994366
Gm37216,3,0.031848727
Eif1.ps3,3,0.010608018
Myh14,3,0.01051711
Eif3s6.ps1,3,0.046410044
Mir224,3,0.031443785
Afg1l,3,0.006326974
Snrpa,3,0.013716814
Gm48062,3,0.04297437
Arpc2,3,0.032466593
Cox5a,3,0.021285613
Gm29084,3,0.016572417
Armc1,3,0.034787915
Gm38307,3,0.022628581
Gm43499,3,4.43E-05
Gm22098,3,0.009415819
Gm37372,3,0.004426791
AI429214,3,0.007302087
Gm6263,3,0.045211323
Gm2829,3,0.016356028
Ndufb4,3,0.000478176
Gm13696,3,0.000167117
Gm10157,3,0.004376667
Gtf3c1,3,0.013550839
Dgkq,3,0.040308462
Gm26300,3,0.009591679
Rab10os,3,0.048842053
Supt5,3,0.033682582
